publication	study	subject	item	voicing	usable	vowel_dur	comment
Roettger_etal_2014	1	14	wieb	voiced	usable	155.841384	
Roettger_etal_2014	1	14	schriek	voiceless	usable	166.942802	
Roettger_etal_2014	1	14	klap	voiceless	usable	278.544185	
Roettger_etal_2014	1	14	schmaup	voiceless	usable	222.372642	
Roettger_etal_2014	1	14	frok	voiceless	usable	197.766117	
Roettger_etal_2014	1	14	gob	voiced	usable	208.553802	
Roettger_etal_2014	1	14	gag	voiced	usable	256.46498	
Roettger_etal_2014	1	14	naug	voiced	usable	243.549892	
Roettger_etal_2014	1	14	drut	voiceless	usable	189.804625	
Roettger_etal_2014	1	14	gried	voiced	usable	212.064727	
Roettger_etal_2014	1	3	nauk	voiceless	usable	152.960008	
Roettger_etal_2014	1	3	frat	voiceless	usable	136.245721	
Roettger_etal_2014	1	3	blod	voiced	usable	102.895193	
Roettger_etal_2014	1	3	griet	voiceless	usable	125.452813	
Roettger_etal_2014	1	3	schmaub	voiced	usable	152.309747	NO RELEASE?
Roettger_etal_2014	1	3	klab	voiced	usable	166.837472	whisper sound
Roettger_etal_2014	1	3	gop	voiceless	usable	119.572564	
Roettger_etal_2014	1	3	drud	voiced	usable	77.44771	
Roettger_etal_2014	1	3	frog	voiced	usable	99.487148	
Roettger_etal_2014	1	3	gak	voiceless	usable	149.912861	
Roettger_etal_2014	1	3	wiep	voiceless	usable	109.019652	NO RELEASE?
Roettger_etal_2014	1	3	schrieg	voiced	usable	85.498523	
Roettger_etal_2014	1	3	frup	voiceless	usable	88.019346	Rauschen
Roettger_etal_2014	1	3	mup	voiceless	usable	108.67453	NO RELEASE?
Roettger_etal_2014	1	3	flab	voiced	usable	92.555273	
Roettger_etal_2014	1	3	rog	voiced	usable	145.824556	
Roettger_etal_2014	1	3	prug	voiced	usable	70.567328	
Roettger_etal_2014	1	3	quat	voiceless	usable	165.259083	
Roettger_etal_2014	1	3	jied	voiced	usable	54.911583	
Roettger_etal_2014	1	3	quob	voiced	usable	121.125848	
